ID,age,gender,sexualorientation,edu,judge_pic,judge_outfit,judge_job,judge_born,judge_live,judge_car,judge_uni,judge_diet,judge_drink,judge_teeth,judge_posts,judge_grammar,judge_sparetime,judge_total,onenight,friendwb,datingsites,firstdates,seconddates,love,age_virginity,sex_year,sexparters_year,sexparters_life,cheat,whitelie_age,whitelie_divorce,whitelie_kids,whitelie_live,whitelie_job,whitelie_finance,whitelie_interest,whitelie_sexhistory,whitelie_datehistory,whitelie_total
261,42,1,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,,no,no,NA,1,1,2,25,0,NA,NA,No,0,0,0,0,0,0,0,0,0,0
263,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1
273,25,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,,no,no,NA,1,1,1,16,50,1,2,No,0,0,0,0,0,0,0,0,0,0
287,24,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,,NA,NA,0,2,2,2,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
303,22,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,,NA,NA,2,3,3,4,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
304,69,0,0,2,1,1,0,0,0,0,0,1,0,1,0,1,0,,yes,yes,NA,3,3,5,17,50,2,NA,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,0,0,0,0,0,0
307,23,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,,yes,no,2,1,1,4,17,4,4,6,"Yes, I've committed emotional infidelity",0,0,0,0,0,0,0,1,1,2
309,68,0,1,2,1,1,1,0,1,1,1,0,1,1,1,0,1,,yes,yes,NA,22,12,5,17,40,30,1000,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,0,0
311,22,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,,no,yes,1,2,2,1,15,1,1,2,No,0,0,0,0,0,0,0,0,0,0
324,60,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1
326,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,0,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
328,42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,2
336,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,,NA,NA,1,2,1,0,Still a virgin,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1
352,23,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,,no,no,NA,3,2,0,19,3,3,3,No,0,0,0,1,0,0,0,0,0,1
356,25,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,,no,no,2,13,5,4,14,7,12,12,"Yes, I've committed both sexual and emotional infidelity",1,0,0,0,0,0,0,0,0,1
358,28,1,0,3,0,1,0,0,0,0,0,1,0,1,1,1,1,,yes,yes,2,8,3,3,18,25,3,10,"Yes, I've committed emotional infidelity",0,0,0,1,0,0,0,1,1,3
363,20,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,NA,NA,2,3,1,0,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
369,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,3,3,0,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
370,21,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,,no,no,1,1,3,4,21,0,NA,1,"Yes, I've committed sexual infidelity",1,0,0,1,1,1,1,1,1,7
379,29,1,0,3,1,1,1,1,1,1,1,1,0,0,1,1,1,,no,yes,0,6,4,2,19,30,2,5,No,0,0,0,0,0,0,0,0,0,0
388,49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,yes,yes,1,1,1,2,16,0,NA,15,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,0,0,0,0,0,0
393,23,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,,no,no,0,2,3,2,21,3,1,2,No,0,0,0,0,0,0,0,1,1,2
396,49,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,,no,yes,1,7,7,1,18,3,1,3,"Yes, I've committed both sexual and emotional infidelity",1,0,0,0,0,0,0,0,0,1
415,21,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,,no,yes,NA,2,1,4,19,7,6,12,No,0,0,0,0,0,1,0,1,1,3
419,35,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,,yes,yes,3,5,4,5,14,75,5,30,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,0,0,1,1,1,3
420,26,1,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,,yes,yes,NA,1,1,3,16,10,3,NA,No,1,0,0,1,1,0,0,1,1,5
425,43,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,no,no,NA,7,6,1,20,5,2,10,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,0,0
430,23,0,0,2,1,1,0,0,1,0,1,0,1,1,1,0,0,,NA,NA,NA,1,1,3,Still a virgin,NA,NA,NA,NA,1,0,0,1,0,1,0,1,1,5
437,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
445,21,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,,NA,NA,NA,1,1,1,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
446,24,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,,yes,yes,1,2,1,3,20,1,1,3,No,0,0,0,0,0,0,0,0,0,0
455,28,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,,NA,NA,NA,1,1,10,Still a virgin,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,2
471,23,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,no,no,0,5,3,4,20,27,1,5,No,0,0,0,0,0,0,0,0,0,0
476,24,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,,no,no,1,3,3,3,22,1,1,3,"Yes, I've committed sexual infidelity",0,0,1,0,0,0,0,0,1,2
496,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no,no,NA,1,1,1,13 & under,0,NA,0,No,0,0,0,0,0,0,0,0,0,0
497,80,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
503,44,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,,no,no,0,1,1,2,16,0,NA,NA,"Yes, I've committed emotional infidelity",0,0,0,0,0,0,0,0,0,0
507,29,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,yes,no,1,5,7,2,26,115,25,25,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,1,1
510,33,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,,NA,NA,NA,5,4,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
511,65,1,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,,NA,NA,0,1,1,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
517,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,no,no,NA,1,1,2,33,1,1,1,No,0,0,0,0,0,0,0,0,0,0
518,18,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,,no,no,NA,7,7,1,17,15,1,1,No,0,0,0,0,0,0,0,1,1,2
519,21,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,no,yes,NA,1,1,0,19,0,NA,5,"Yes, I've committed sexual infidelity",0,0,0,1,0,1,0,0,0,2
529,56,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,1,1,1,10,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,1,0,1,1,3
533,46,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,no,no,0,1,1,1,16,0,NA,NA,No,0,0,0,0,0,0,0,0,0,0
539,35,1,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,,no,yes,NA,2,1,1,21,0,NA,7,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,0,0
547,21,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,no,no,0,1,1,1,14,1,1,1,No,0,0,0,0,0,0,0,0,0,0
550,63,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,,yes,no,3,2,2,3,17,1,1,10,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,0,0
551,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,no,yes,NA,1,1,2,13 & under,0,NA,0,"Yes, I've committed emotional infidelity",0,0,0,0,1,0,0,0,0,1
561,43,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,1,3
563,52,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,,yes,no,1,1,1,2,14,0,NA,10,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,0,0,0,0,0,0
566,44,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,,yes,yes,NA,1,1,3,21,0,NA,5,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,0,0,0,0,0,0
567,23,1,0,2,1,1,1,0,0,0,0,1,0,1,1,1,1,,yes,yes,1,4,2,1,21,0,NA,3,No,0,0,0,0,0,0,0,1,0,1
572,41,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,no,yes,NA,1,1,4,18,40,1,1,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,1,0,0,0,0,1
578,73,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,,no,no,0,1,1,5,14,0,NA,6,No,0,0,0,0,0,0,0,0,0,0
585,47,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,,no,no,0,1,1,2,17,7,1,7,No,0,0,0,0,0,0,0,0,0,0
588,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,yes,no,0,1,1,3,17,4,2,NA,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,1,1
597,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,0,Still a virgin,NA,NA,NA,NA,0,0,0,1,1,0,1,0,0,3
599,65,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
601,51,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,,no,no,1,6,1,2,16,10,2,20,"Yes, I've committed sexual infidelity",0,0,0,0,0,1,0,1,1,3
602,67,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,,no,no,2,2,3,2,15,5,1,NA,No,0,0,0,1,0,1,0,1,0,3
603,36,1,0,2,1,1,1,0,0,0,0,1,1,1,1,0,1,,yes,yes,0,1,1,4,19,50,1,11,No,0,0,0,0,0,0,0,0,0,0
606,67,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,2
609,26,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
610,25,1,0,2,1,1,1,1,1,1,1,1,0,0,0,1,1,,NA,NA,1,4,2,1,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
614,53,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
623,47,1,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,,yes,no,0,1,1,3,14,7,1,5,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,0,0
625,69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,no,yes,NA,1,1,3,18,50,1,10,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,0,0
643,66,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,,no,no,NA,2,3,5,16,20,NA,NA,No,0,0,0,0,0,0,0,0,0,0
644,51,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,,yes,yes,1,1,1,5,14,52,4,75,No,1,0,0,1,0,0,0,1,0,3
649,67,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1
650,69,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,,no,no,NA,1,1,2,24,0,NA,NA,No,0,0,0,0,0,0,0,0,0,0
652,49,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,no,no,0,1,1,4,17,0,NA,10,No,0,0,0,1,0,0,0,0,0,1
653,31,1,0,2,1,1,0,0,0,0,0,0,1,1,1,0,1,,NA,NA,0,5,1,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
666,29,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,,yes,yes,0,2,2,1,21,15,1,6,No,0,0,0,0,0,0,0,0,0,0
667,42,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
671,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no,no,NA,1,1,1,15,0,NA,NA,No,0,0,0,0,0,0,0,0,0,0
673,44,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,,no,no,NA,1,1,3,17,6,1,10,No,0,0,0,0,0,0,0,0,0,0
685,30,0,0,2,1,1,1,0,0,0,1,1,0,1,0,0,1,,yes,yes,2,20,12,5,19,60,20,50,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,1,1,2
688,72,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,no,no,NA,1,1,2,18,0,NA,2,"Yes, I've committed sexual infidelity",1,0,0,0,0,0,0,0,0,1
691,25,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,no,yes,1,2,3,3,17,2,2,5,"Yes, I've committed emotional infidelity",0,0,0,0,0,1,0,0,0,1
693,22,1,1,2,0,1,0,0,0,0,0,0,0,1,1,1,1,,yes,no,2,2,2,3,15,105,1,13,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,1,1
700,37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,yes,yes,0,1,1,3,19,0,NA,NA,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,0,0,0,0,0,0
707,18,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
708,20,1,2,1,1,1,1,1,1,0,0,0,0,0,1,0,1,,NA,NA,2,2,1,1,Still a virgin,NA,NA,NA,NA,1,0,0,1,0,0,1,0,0,3
710,33,1,0,2,1,1,0,0,0,1,0,0,0,1,1,0,0,,yes,yes,NA,1,1,4,15,32,1,20,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,0,0,0,0,0,0
715,46,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,no,yes,NA,1,1,3,21,0,NA,4,No,0,0,0,0,0,0,0,0,0,0
717,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
724,22,1,0,2,0,0,1,0,0,1,0,0,0,0,1,1,1,,yes,yes,1,3,3,1,19,20,4,12,No,0,0,0,0,0,0,0,1,0,1
731,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,no,no,NA,6,5,0,19,7,100,500,"Yes, I've committed sexual infidelity",0,1,1,0,1,1,1,0,1,6
735,50,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,,yes,no,NA,1,1,1,19,0,NA,9,No,0,0,0,0,0,0,0,0,0,0
752,27,1,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,,no,no,2,7,3,2,Prefer not to answer,0,NA,NA,"Yes, I've committed emotional infidelity",0,0,0,0,0,0,0,0,1,1
755,27,1,0,3,1,1,1,1,0,1,1,1,1,1,1,1,1,,no,no,0,1,1,1,21,0,NA,2,No,0,0,0,0,0,0,0,1,1,2
757,38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
758,52,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,no,no,0,1,1,3,52,6,1,4,No,0,0,0,0,0,0,0,0,0,0
763,27,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,,yes,yes,0,2,1,2,16,1,1,4,"Yes, I've committed emotional infidelity",1,0,0,0,0,0,0,0,0,1
770,18,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,,no,no,1,5,4,1,17,2,2,4,No,0,0,0,0,0,0,1,0,0,1
774,22,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,NA,NA,1,3,3,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
788,30,1,0,2,1,1,1,0,0,0,0,1,0,1,0,0,1,,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
790,35,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,,no,no,3,6,5,3,20,5,2,2,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,1,0,0,1
792,26,0,0,2,1,0,0,1,0,0,1,0,1,0,1,0,0,,NA,NA,3,2,5,3,Still a virgin,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
793,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,no,no,NA,1,1,1,17,0,NA,0,No,0,0,0,0,0,0,0,0,0,0
799,21,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,,NA,NA,1,2,2,1,Still a virgin,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1
824,18,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,no,no,1,1,1,1,18,2,1,1,No,0,0,0,0,0,0,0,1,0,1
829,53,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,,yes,yes,1,1,1,3,16,90,1,10,"Yes, I've committed both sexual and emotional infidelity",0,0,0,0,0,0,0,1,1,2
838,43,0,0,3,1,0,0,0,1,0,0,0,0,1,1,0,0,,no,yes,NA,2,2,2,16,1,1,8,"Yes, I've committed sexual infidelity",0,0,0,0,0,0,0,0,0,0
846,19,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,,no,yes,2,2,3,5,19,4,1,1,"Yes, I've committed emotional infidelity",0,0,0,0,0,0,1,0,1,2
